time,low,high,open,close,volume,log_return
2025-09-04,109321.0,112235.6,111756.4,110720.79,5253.71408228,
2025-09-05,110202.36,113390.0,110714.48,110670.02,7218.59124481,0.00595612132247185
2025-09-06,109993.0,111317.65,110670.02,110212.6,1621.65017738,-0.00822831052813131
2025-09-07,110200.01,111600.0,110214.21,111129.61,1646.11764246,0.0042331733781210915
2025-09-08,110600.0,112940.84,111120.38,112072.57,5158.43294831,0.008028815787163137
2025-09-09,110765.72,113292.96,112072.57,111549.32,5158.45733241,-1.6119867213905233e-05
2025-09-10,110919.55,114362.1,111546.61,113983.97,7249.99346721,0.010839528185187812
2025-09-11,113433.92,115554.53,113983.98,115540.0,5575.3607407,0.015393330101783948
2025-09-12,114774.19,116833.25,115540.01,116106.03,6493.57632751,0.009202108058617127
2025-09-13,115177.53,116378.04,116106.03,115968.35,2173.49651785,-0.000545281388552834
2025-09-14,115166.0,116226.61,115968.33,115314.13,1967.88683794,-0.0023542042277991935
2025-09-15,114395.84,116802.0,115314.12,115381.08,6142.67859527,-0.0003687368968465627
2025-09-16,114750.0,117000.0,115381.07,116832.56,6012.58313417,0.005764547104682955
2025-09-17,114724.57,117327.24,116832.56,116484.4,7151.30033814,-0.00013297590615249662
2025-09-18,116125.08,117998.17,116484.4,117117.99,7140.41942024,0.0077311535930632115
2025-09-19,115132.71,117516.36,117117.99,115690.55,5874.11552075,-0.008295357420350405
2025-09-20,115463.22,116194.63,115690.55,115752.4,2830.8502542,-0.0026715651495928753
2025-09-21,115237.16,115900.02,115752.9,115282.27,2071.01892785,-0.002856034192513055
2025-09-22,111761.22,115441.37,115282.26,112736.59,8494.39097785,-0.018883604816815766
2025-09-23,111502.08,113357.0,112736.59,112017.21,4512.04618772,-0.009050948286436034
2025-09-24,111066.07,113999.98,112017.21,113348.17,4932.88303511,0.004554877156321266
2025-09-25,108623.7,113561.35,113348.16,109035.72,9197.26639402,-0.02148551622830771
2025-09-26,108645.02,110369.99,109036.0,109697.29,6826.16968974,-0.00760223178748401
2025-09-27,109116.0,109815.08,109697.29,109681.16,1950.48703402,-0.0003044462656844298
2025-09-28,109230.98,112385.84,109681.15,112197.67,2397.09714427,0.015706965668344886
2025-09-29,111582.65,114490.0,112197.66,114365.07,5553.41779958,0.01964678185830189
2025-09-30,112695.85,114850.0,114361.66,114067.71,5044.09158186,0.0034479553059530814
2025-10-01,113975.5,118718.8,114067.71,118659.97,9687.1228881,0.028114874011105438
2025-10-02,118336.01,121111.0,118662.72,120621.32,8816.90252269,0.024498788306891846
2025-10-03,119327.83,123996.81,120621.33,122318.4,11835.08733617,0.015363737944959224
2025-10-04,121572.64,122896.0,122318.39,122458.56,2705.28818527,0.00350590631511621
2025-10-05,122195.28,125750.0,122458.55,123520.79,5820.77013157,0.012294064295691671
